"Daten ID";"Entnahmedatum";"Entnahmezeit";"Witterung";"Schüttungsmenge";"Wassertemperatur";"Trübung";"Elektr Leitfähigkeit";"pH-Wert";"Sauerstoff";"Sauerstoffsättigung";"Chemische Analysen";"Bakteriologische Analysen";"Bemerkungen Messdaten"
795;26.08.1998 00:00:00;;;23.40;10.10;;302.00;;;;;;
796;26.08.1998 00:00:00;;;;11.50;;372.00;;;;;;
797;26.08.1998 00:00:00;;;2.50;9.80;;381.00;;;;;;
798;20.07.1998 00:00:00;;;;7.20;;220.00;;;;;;
393;21.07.1998 00:00:00;;;;6.30;;285.00;;;;;;
394;21.07.1998 00:00:00;;;10.00;6.70;;310.00;;;;;;
395;21.07.1998 00:00:00;;;100.00;6.40;;301.00;;;;;;
396;21.07.1998 00:00:00;;;72.30;6.40;;220.00;;;;;;
397;21.07.1998 00:00:00;;;58.50;7.60;;260.00;;;;;;
398;22.07.1998 00:00:00;;;300.00;8.00;;308.00;;;;;;
399;22.07.1998 00:00:00;;;22.20;8.10;;279.00;;;;;;
400;22.07.1998 00:00:00;;;;8.90;;265.00;;;;;;
401;22.07.1998 00:00:00;;;55.80;8.90;;267.00;;;;;;
402;22.07.1998 00:00:00;;;0.60;10.70;;306.00;;;;;;
403;21.07.1998 00:00:00;;;27.00;8.30;;273.00;;;;;;
404;22.07.1998 00:00:00;;;166.70;6.10;;181.00;;;;;;
406;21.07.1998 00:00:00;;;0.50;11.90;;321.00;;;;;;
407;22.07.1998 00:00:00;;;8.70;8.70;;270.00;;;;;;
408;21.07.1998 00:00:00;;;40.00;8.30;;158.00;;;;;;
409;22.07.1998 00:00:00;;;3.30;8.20;;231.00;;;;;;
410;21.07.1998 00:00:00;;;9.10;8.70;;140.00;;;;;;
412;21.07.1998 00:00:00;;;16.40;9.00;;181.00;;;;;;
413;22.07.1998 00:00:00;;;30.00;7.60;;298.00;;;;;;
415;21.07.1998 00:00:00;;;;7.40;;420.00;;;;;;
418;21.07.1998 00:00:00;;;1.86;11.40;;316.00;;;;;;
419;21.07.1998 00:00:00;;;1.20;7.90;;284.00;;;;;;
420;21.07.1998 00:00:00;;;5.10;10.40;;291.00;;;;;;
421;21.07.1998 00:00:00;;;0.10;18.60;;362.00;;;;;;
618;21.07.1998 00:00:00;;;1.30;12.00;;344.00;;;;;;
422;21.07.1998 00:00:00;;;42.10;10.10;;271.00;;;;;;
798;21.07.1998 00:00:00;;;10.70;10.00;;177.00;;;;;;
800;21.07.1998 00:00:00;;;8.40;10.10;;173.00;;;;;;
801;21.07.1998 00:00:00;;;18.10;10.20;;171.00;;;;;;
802;21.07.1998 00:00:00;;;4.60;7.30;;262.00;;;;;;
804;21.07.1998 00:00:00;;;8.90;5.80;;252.00;;;;;;
805;21.07.1998 00:00:00;;;2.50;7.30;;265.00;;;;;;
806;21.07.1998 00:00:00;;;11.50;8.40;;293.00;;;;;;
807;21.07.1998 00:00:00;;;206.90;5.70;;141.00;;;;;;
808;21.07.1998 00:00:00;;;3.90;7.60;;150.00;;;;;;
809;28.08.1998 00:00:00;;;;6.00;;82.00;;;;;;
